index,x,y,Delya Y (Abweichung),y45
96,-20.0,-19.347134,32.342866,12.995732
66,-20.0,99.261604,-86.265872,12.995732
89,-18.1,35.745747,-22.849835000000002,12.895912
54,-17.5,16.389914,-3.5277130000000003,12.862201
42,-17.4,16.13856,-3.2820899999999984,12.85647
29,-17.1,15.988693,-3.1496139999999997,12.839079
79,-16.7,16.142563,-3.3271539999999984,12.815409
59,-16.6,-1.8238432,14.633245200000001,12.809402
52,-16.5,0.4701114,12.3332486,12.80336
35,-16.2,80.32605,-67.541039,12.785011
64,-16.2,-0.62903035,13.414041350000002,12.785011
71,-15.8,-1.1628026,13.9228126,12.76001
97,-15.3,0.21437874,12.513474259999999,12.727853
51,-15.1,-0.8285563,13.543251300000001,12.714695
6,-15.1,14.192294,-1.4775989999999997,12.714695
69,-14.2,15.1473255,-2.4940835000000003,12.653242
36,-13.8,44.641987,-32.017319,12.624668
73,-13.8,14.865583,-2.240915000000001,12.624668
46,-12.6,-0.080303125,12.614000125,12.533697
87,-11.7,-0.14251386,12.602102859999999,12.459589
85,-11.5,-0.47237664,12.91472364,12.442347
74,-11.4,10.554388,1.879226000000001,12.433614
20,-11.1,-11.129228,23.536172999999998,12.406945
76,-10.7,0.73965573,11.63058827,12.370244
45,-10.1,55.911495,-43.598960000000005,12.312535
37,-9.1,-1.1680479,13.3763229,12.208275
33,-8.1,2.8754423,9.2164217,12.091864
57,-8.1,41.723595,-29.631731000000002,12.091864
62,-7.8,9.451261,2.6028629999999993,12.054124
49,-7.3,37.313965,-25.326091000000005,11.987874
56,-7.2,8.389769,3.5843120000000006,11.974081
10,-7.1,-0.1505335,12.1106275,11.960094
58,-7.0,8.068539,3.877371,11.94591
27,-6.8,34.77236,-22.855437,11.916923
40,-6.8,8.903284,3.0136390000000013,11.916923
4,-6.5,81.21402,-69.342218,11.871802
12,-5.6,0.99593544,10.726831559999999,11.722767
39,-5.3,58.32741,-46.6597035,11.6677065
26,-5.2,6.369374,5.279285000000001,11.648659
65,-4.9,-5.120785,16.71002,11.589235
1,-4.7,34.25082,-22.703256999999997,11.547563
78,-3.8,18.251514,-6.916513,11.335001
98,-3.2,-3.7390823,14.902233299999999,11.163151
14,-2.9,13.796734,-2.732023,11.064711
17,-2.8,13.655836,-2.6262170000000005,11.029619
43,-2.7,-1.6819549,12.6752069,10.993252
77,-2.6,0.07008944,10.88542156,10.955511
5,-2.3,5.864152,4.968758,10.83291
7,-1.7,3.5454068,6.9852212,10.530628
94,-1.1,44.993546,-34.898236000000004,10.09531
11,-1.0,4.13364,5.86636,10.0
83,-0.5,0.6526604,8.6541926,9.306853
95,0.1,1.154942,6.542473,7.697415
31,0.1,1.9481975,5.7492175,7.697415
28,0.2,-0.17285825,8.56342025,8.390562
88,0.3,59.68033,-50.884302999999996,8.796027
30,0.5,2.4143674,6.8924856000000005,9.306853
80,0.5,1.6080067,7.6988463000000005,9.306853
50,1.6,9.33222,1.137784,10.470004
91,2.4,13.258442,-2.382973,10.875469
34,2.9,2.714772,8.349939000000001,11.064711
84,3.5,-1.72327,12.976033,11.252763
24,4.2,3.679699,7.755385,11.435084
8,4.5,-1.3256714,12.8297484,11.504077
15,4.7,4.5685735,6.9789895,11.547563
0,4.9,4.4963365,7.0928985,11.589235
21,5.7,14.907959,-3.1674930000000003,11.740466
92,5.8,28.826637,-17.068779,11.757858
38,6.2,30.448309,-18.623759,11.82455
32,6.5,1.0312804,10.8405216,11.871802
48,6.5,2.3751493,9.4966527,11.871802
55,6.7,7.405298,4.496809000000001,11.902107
18,6.9,7.529588,4.401933,11.931521
2,7.2,6.6985793,5.2755017,11.974081
70,7.8,7.945975,4.108149,12.054124
68,9.0,9.132467,3.0647579999999994,12.197225
75,9.1,10.091935,2.116340000000001,12.208275
9,9.2,8.35989,3.8593139999999995,12.219204
22,9.3,46.964706,-34.734691,12.230015
82,9.6,8.792373,3.469391,12.261764
86,9.7,48.93252,-36.660394,12.272126
81,11.0,30.900364,-18.502468999999998,12.397895
41,11.1,-0.6867566,13.093701600000001,12.406945
90,11.6,57.546875,-45.09587,12.451005
93,12.5,12.437278,0.0884500000000017,12.525728
72,12.9,11.8070135,0.7502134999999992,12.557227
60,13.1,3.3941772,9.1784348,12.572612
53,13.4,65.792496,-53.197241,12.595255
99,13.7,0.6294186,11.9879764,12.617395
16,14.5,14.734339,-2.0601900000000004,12.674149
61,15.0,99.7092,-87.00115,12.70805
67,15.1,75.25758,-62.542885000000005,12.714695
47,16.3,16.993471,-4.202306,12.791165
19,16.8,17.516111,-4.694731999999998,12.821379
44,17.1,18.14629,-5.307211000000001,12.839079
3,17.9,17.754583,-4.869782000000001,12.884801
63,18.1,89.33668,-76.440768,12.895912
23,18.9,18.88673,-5.947568,12.939162
25,18.9,84.124916,-71.185754,12.939162
13,19.7,19.575151,-6.5945325000000015,12.9806185
