,x,y,Delya Y (Abweichung),y3
96,-20.0,-19.347134,28.665820500000002,9.3186865
66,-20.0,99.261604,89.81229,9.449314
89,-18.1,35.745747,24.810851500000002,10.9348955
54,-17.5,16.389914,6.191245,10.198669
42,-17.4,16.13856,6.080185999999998,10.058374
29,-17.1,15.988693,6.839129,9.149564
79,-16.7,16.142563,6.316889999999999,9.825673
59,-16.6,-1.8238432,12.499306200000001,10.675463
52,-16.5,0.4701114,9.6297221,10.0998335
35,-16.2,80.32605,70.54117,9.78488
64,-16.2,-0.62903035,9.62910635,9.000076
71,-15.8,-1.1628026,11.567652599999999,10.40485
97,-15.3,0.21437874,9.83604426,10.050423
51,-15.1,-0.8285563,10.3491313,9.520575
6,-15.1,14.192294,3.3551520000000004,10.837142
69,-14.2,15.1473255,4.9322055,10.21512
36,-13.8,44.641987,34.01072,10.631267
73,-13.8,14.865583,4.071915000000001,10.793668
46,-12.6,-0.080303125,9.564802125,9.484499
87,-11.7,-0.14251386,10.88288936,10.7403755
85,-11.5,-0.47237664,10.79985164,10.327475
74,-11.4,10.554388,0.4441560000000013,10.998544
20,-11.1,-11.129228,22.00468,10.875452
76,-10.7,0.73965573,9.579442270000001,10.319098
45,-10.1,55.911495,46.338875,9.57262
37,-9.1,-1.1680479,12.000315899999999,10.832268
33,-8.1,2.8754423,6.6304447,9.505887
57,-8.1,41.723595,31.244170000000004,10.479425
62,-7.8,9.451261,0.32283600000000057,9.128425
49,-7.3,37.313965,28.205173000000002,9.108792
56,-7.2,8.389769,2.0896560000000015,10.479425
10,-7.1,-0.1505335,10.6229555,10.472422
58,-7.0,8.068539,2.9310350000000014,10.999574
27,-6.8,34.77236,25.74225,9.03011
40,-6.8,8.903284,2.0966400000000007,10.999924
4,-6.5,81.21402,70.22136,10.99266
12,-5.6,0.99593544,8.60732356,9.603259
39,-5.3,58.32741,47.344958,10.982452
26,-5.2,6.369374,2.660736000000001,9.03011
65,-4.9,-5.120785,14.138333,9.017548
1,-4.7,34.25082,25.163764999999998,9.087055
78,-3.8,18.251514,8.1270595,10.1244545
98,-3.2,-3.7390823,13.7895053,10.050423
14,-2.9,13.796734,4.3679310000000005,9.428803
17,-2.8,13.655836,4.599532,9.056304
43,-2.7,-1.6819549,11.4427059,9.760751
77,-2.6,0.07008944,10.15280056,10.22289
5,-2.3,5.864152,5.1199129999999995,10.984065
7,-1.7,3.5454068,7.2329452,10.778352
94,-1.1,44.993546,35.977611,9.015935
11,-1.0,4.13364,5.958267000000001,10.091907
83,-0.5,0.6526604,8.5245116,9.177172
95,0.1,1.154942,8.031901,9.186843
31,0.1,1.9481975,7.322833500000001,9.271031
28,0.2,-0.17285825,9.174314249999998,9.001456
88,0.3,59.68033,48.774376,10.905954
30,0.5,2.4143674,6.7919646,9.206332
80,0.5,1.6080067,8.1202323,9.728239
50,1.6,9.33222,0.17369099999999982,9.158529
91,2.4,13.258442,2.6872450000000008,10.571197
34,2.9,2.714772,6.791115,9.505887
84,3.5,-1.72327,11.656948,9.933678
24,4.2,3.679699,6.945372000000001,10.625071
8,4.5,-1.3256714,12.0374564,10.711785
15,4.7,4.5685735,4.433399499999999,9.001973
0,4.9,4.4963365,4.5907184999999995,9.087055
21,5.7,14.907959,3.9886300000000006,10.919329
92,5.8,28.826637,19.384689,9.441948
38,6.2,30.448309,19.564854999999998,10.883454
32,6.5,1.0312804,8.3117336,9.343014
48,6.5,2.3751493,6.6331857,9.008335
55,6.7,7.405298,2.8902219999999996,10.29552
18,6.9,7.529588,2.436788999999999,9.966377
2,7.2,6.6985793,3.9827342000000003,10.6813135
70,7.8,7.945975,2.269145000000001,10.21512
68,9.0,9.132467,0.7844429999999996,9.91691
75,9.1,10.091935,0.32018400000000113,10.412119
9,9.2,8.35989,2.112532,10.472422
22,9.3,46.964706,35.970152999999996,10.994553
82,9.6,8.792373,0.21307400000000065,9.005447
86,9.7,48.93252,38.42385899999999,10.508661
81,11.0,30.900364,21.900354,9.00001
41,11.1,-0.6867566,11.298613600000001,10.611857
90,11.6,57.546875,46.896587,10.650288
93,12.5,12.437278,3.324845,9.112433
72,12.9,11.8070135,1.2285734999999995,10.57844
60,13.1,3.3941772,6.8450717999999995,10.239249
53,13.4,65.792496,55.6926625,10.0998335
99,13.7,0.6294186,10.1221554,10.751574
16,14.5,14.734339,5.6780349999999995,9.056304
61,15.0,99.7092,90.05998299999999,9.649217
67,15.1,75.25758,65.722182,9.535398
47,16.3,16.993471,7.739177,9.254294
19,16.8,17.516111,6.754126999999999,10.761984
44,17.1,18.14629,8.481279,9.665011
3,17.9,17.754583,6.778957,10.975626
63,18.1,89.33668,80.3142105,9.0224695
23,18.9,18.88673,7.930095,10.956635
25,18.9,84.124916,74.444014,9.680902
13,19.7,19.575151,10.146348000000001,9.428803
