index,x,y,Delya Y (Abweichung),y3
96,-20.0,-19.347134,28.434189,9.087055
66,-20.0,99.261604,-90.17454900000001,9.087055
89,-18.1,35.745747,-25.0644335,10.6813135
54,-17.5,16.389914,-5.414288000000001,10.975626
42,-17.4,16.13856,-5.1458999999999975,10.99266
29,-17.1,15.988693,-5.004628,10.984065
79,-16.7,16.142563,-5.305420999999999,10.837142
59,-16.6,-1.8238432,12.6021952,10.778352
52,-16.5,0.4701114,10.2416736,10.711785
35,-16.2,80.32605,-69.853628,10.472422
64,-16.2,-0.62903035,11.10145235,10.472422
71,-15.8,-1.1628026,11.254709600000002,10.091907
97,-15.3,0.21437874,9.388880259999999,9.603259
51,-15.1,-0.8285563,10.257359300000001,9.428803
6,-15.1,14.192294,-4.763491,9.428803
69,-14.2,15.1473255,-6.145352500000001,9.001973
36,-13.8,44.641987,-35.585683,9.056304
73,-13.8,14.865583,-5.809279,9.056304
46,-12.6,-0.080303125,10.046680125,9.966377
87,-11.7,-0.14251386,10.90449786,10.761984
85,-11.5,-0.47237664,11.34782864,10.875452
74,-11.4,10.554388,0.36494099999999996,10.919329
20,-11.1,-11.129228,22.123781,10.994553
76,-10.7,0.73965573,10.21697927,10.956635
45,-10.1,55.911495,-45.286424000000004,10.625071
37,-9.1,-1.1680479,10.8489499,9.680902
33,-8.1,2.8754423,6.154667700000001,9.03011
57,-8.1,41.723595,-32.693485,9.03011
62,-7.8,9.451261,-0.44980500000000134,9.001456
49,-7.3,37.313965,-28.164401000000005,9.149564
56,-7.2,8.389769,0.8165630000000004,9.206332
10,-7.1,-0.1505335,9.4215645,9.271031
58,-7.0,8.068539,1.2744750000000007,9.343014
27,-6.8,34.77236,-25.266472999999998,9.505887
40,-6.8,8.903284,0.6026030000000002,9.505887
4,-6.5,81.21402,-71.42914,9.78488
12,-5.6,0.99593544,9.63533156,10.631267
39,-5.3,58.32741,-47.495142,10.832268
26,-5.2,6.369374,4.514080000000001,10.883454
65,-4.9,-5.120785,16.103237,10.982452
1,-4.7,34.25082,-23.250895999999997,10.999924
78,-3.8,18.251514,-7.639657,10.611857
98,-3.2,-3.7390823,13.7974563,10.058374
14,-2.9,13.796734,-4.035983,9.760751
17,-2.8,13.655836,-3.990825000000001,9.665011
43,-2.7,-1.6819549,11.254574900000001,9.57262
77,-2.6,0.07008944,9.41440956,9.484499
5,-2.3,5.864152,3.390142,9.254294
7,-1.7,3.5454068,5.4629282,9.008335
94,-1.1,44.993546,-35.884754,9.108792
11,-1.0,4.13364,5.024889,9.158529
83,-0.5,0.6526604,8.867914599999999,9.520575
95,0.1,1.154942,8.9448915,10.0998335
31,0.1,1.9481975,8.151636,10.0998335
28,0.2,-0.17285825,10.37152725,10.198669
88,0.3,59.68033,-49.38481,10.29552
30,0.5,2.4143674,8.065057600000001,10.479425
80,0.5,1.6080067,8.8714183,10.479425
50,1.6,9.33222,1.6673540000000013,10.999574
91,2.4,13.258442,-2.582979,10.675463
34,2.9,2.714772,7.524476999999999,10.239249
84,3.5,-1.72327,11.372487,9.649217
24,4.2,3.679699,5.448726000000001,9.128425
8,4.5,-1.3256714,10.3481409,9.0224695
15,4.7,4.5685735,4.4315025,9.000076
0,4.9,4.4963365,4.5212115,9.017548
21,5.7,14.907959,-5.458645000000001,9.449314
92,5.8,28.826637,-19.291239,9.535398
38,6.2,30.448309,-20.531399,9.91691
32,6.5,1.0312804,9.1838396,10.21512
48,6.5,2.3751493,7.8399707,10.21512
55,6.7,7.405298,2.9995519999999996,10.40485
18,6.9,7.529588,3.048852,10.57844
2,7.2,6.6985793,4.095088700000001,10.793668
70,7.8,7.945975,3.052569000000001,10.998544
68,9.0,9.132467,1.2796520000000005,10.412119
75,9.1,10.091935,0.2271630000000009,10.319098
9,9.2,8.35989,1.8629999999999995,10.22289
22,9.3,46.964706,-36.8402515,10.1244545
82,9.6,8.792373,1.0333000000000006,9.825673
86,9.7,48.93252,-39.204280999999995,9.728239
81,11.0,30.900364,-21.900354,9.00001
41,11.1,-0.6867566,9.692203600000001,9.005447
90,11.6,57.546875,-48.369703,9.177172
93,12.5,12.437278,-2.5035999999999987,9.933678
72,12.9,11.8070135,-1.4795385000000003,10.327475
60,13.1,3.3941772,7.1144838,10.508661
53,13.4,65.792496,-55.0521205,10.7403755
99,13.7,0.6294186,10.2765354,10.905954
16,14.5,14.734339,-3.7994435000000006,10.9348955
61,15.0,99.7092,-89.05891199999999,10.650288
67,15.1,75.25758,-64.686383,10.571197
47,16.3,16.993471,-7.5515229999999995,9.441948
19,16.8,17.516111,-8.403678,9.112433
44,17.1,18.14629,-9.130355,9.015935
3,17.9,17.754583,-8.56774,9.186843
63,18.1,89.33668,-80.0179935,9.3186865
23,18.9,18.88673,-8.836307,10.050423
25,18.9,84.124916,-74.074493,10.050423
13,19.7,19.575151,-8.823577000000002,10.751574
